price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,grade,sqft_above,sqft_living15,yr_built
221900,3,1,1180,5650,1,0,7,1180,1340,63
538000,3,2.25,2570,7242,2,0,7,2170,1690,67
180000,2,1,770,10000,1,0,6,770,2720,85
604000,4,3,1960,5000,1,0,7,1050,1360,53
510000,3,2,1680,8080,1,0,8,1680,1800,31
1.23E+06,4,4.5,5420,101930,1,0,11,3890,4760,17
257500,3,2.25,1715,6819,2,0,7,1715,2238,23
291850,3,1.5,1060,9711,1,0,7,1060,1650,55
229500,3,1,1780,7470,1,0,7,1050,1780,58
323000,3,2.5,1890,6560,2,0,7,1890,2390,15
662500,3,2.5,3560,9796,1,0,8,1860,2210,53
468000,2,1,1160,6000,1,0,7,860,1330,76
310000,3,1,1430,19901,1.5,0,7,1430,1780,91
400000,3,1.75,1370,9680,1,0,7,1370,1370,41
530000,5,2,1810,4850,1.5,0,7,1810,1360,118
650000,4,3,2950,5000,2,0,9,1980,2140,39
395000,3,2,1890,14040,2,0,7,1890,1890,24
485000,4,1,1600,4300,1.5,0,7,1600,1610,102
189000,2,1,1200,9850,1,0,7,1200,1060,97
230000,3,1,1250,9774,1,0,7,1250,1280,49
385000,4,1.75,1620,4980,1,0,7,860,1400,71
2.00E+06,3,2.75,3050,44867,1,0,9,2330,4110,50
285000,5,2.5,2270,6300,2,0,8,2270,2240,23
252700,2,1.5,1070,9643,1,0,7,1070,1220,33
329000,3,2.25,2450,6500,2,0,8,2450,2200,33
233000,3,2,1710,4697,1.5,0,6,1710,1030,77
937000,3,1.75,2450,2691,2,0,8,1750,1760,103
667000,3,1,1400,1581,1.5,0,8,1400,1860,109
438000,3,1.75,1520,6380,1,0,7,790,1520,70
719000,4,2.5,2570,7173,2,0,8,2570,2630,13
580500,3,2.5,2320,3980,2,0,8,2320,2580,15
280000,2,1.5,1190,1265,3,0,7,1190,1390,13
687500,4,1.75,2330,5000,1.5,0,7,1510,1460,89
535000,3,1,1090,3000,1.5,0,8,1090,1570,89
322500,4,2.75,2060,6659,1,0,7,1280,2020,37
696000,3,2.5,2300,3060,1.5,0,8,1510,1590,88
550000,4,1,1660,34848,1,0,5,930,2160,85
640000,4,2,2360,6000,2,0,8,2360,1730,114
240000,4,1,1220,8075,1,0,7,890,1290,49
605000,4,2.5,2620,7553,2,0,8,2620,2620,22
625000,4,2.5,2570,5520,2,0,9,2570,2470,18
775000,4,2.25,4220,24186,1,0,8,2600,2410,34
861990,5,2.75,3595,5639,2,0,9,3595,3625,4
685000,3,1,1570,2280,2,0,7,1570,1580,96
309000,3,1,1280,9656,1,0,6,920,1340,59
488000,3,2.5,3160,13603,2,0,8,3160,3050,15
210490,3,1,990,8528,1,0,6,990,1228,52
785000,4,2.5,2290,13416,2,0,9,2290,2680,37
450000,3,1.75,1250,5963,1,0,7,1250,970,65
1.35E+06,3,2.5,2753,65005,1,1,9,2165,2680,65
228000,3,1,1190,9199,1,0,7,1190,1190,63
345000,5,2.5,3150,9134,1,0,8,1640,1990,52
600000,3,1.75,1410,4080,1,0,7,1000,1410,68
585000,2,1.75,1980,8550,1,0,7,990,1480,37
920000,5,2.25,2730,6000,1.5,0,8,2130,2730,91
885000,4,2.5,2830,5000,2,0,9,2830,1950,23
292500,4,2.5,2250,4495,2,0,7,2250,2250,10
301000,3,2.5,2420,4750,2,0,8,2420,2690,15
951000,5,3.25,3250,14342,2,0,8,3250,2960,50
430000,4,3,1850,9976,2,0,8,1850,2270,27
650000,3,2.25,2150,21235,1,0,8,1590,2570,59
289000,3,1.75,1260,8400,1,0,7,1260,1290,64
505000,3,1.75,2519,8690,2,0,8,2519,2500,45
549000,3,1.75,1540,1044,3,0,8,1540,1580,4
425000,3,2.25,1660,6000,1,0,7,1110,1440,39
317625,3,2.75,2770,3809,1.5,0,7,1770,1440,93
975000,4,2.5,2720,11049,2,0,10,2720,2750,29
287000,4,2.5,2240,4648,2,0,7,2240,2221,13
204000,3,1,1000,12070,1,0,7,1000,1010,50
1.33E+06,5,2.25,3200,20158,1,0,8,1600,3390,53
1.04E+06,5,3.25,4770,50094,1,0,11,3070,3530,45
325000,3,2,1260,5612,1,0,7,1260,1640,46
571000,4,2,2750,7807,1.5,0,7,2250,1510,102
360000,4,2.5,2380,5000,2,0,8,2380,2420,13
349000,3,1.75,1790,50529,1,0,7,1090,1940,53
832500,4,4,3430,35102,2,0,10,2390,3240,32
380000,4,1.75,1760,7300,1,0,7,880,1680,62
480000,3,1,1040,5060,1,0,7,1040,890,77
410000,3,1,1410,5060,1,0,7,910,1130,62
720000,4,2.5,3450,39683,2,0,10,3450,3350,16
390000,3,2.5,2350,5100,2,0,8,2350,2350,15
360000,4,2.5,1900,5889,2,0,7,1900,1870,26
355000,2,1,2020,6720,1,0,7,1010,1720,70
356000,3,1.5,1680,8712,1,0,8,1680,1850,54
315000,3,1,960,6634,1,0,6,960,1570,66
940000,3,1.5,2140,3600,2,0,9,1900,2020,93
305000,5,2.25,2660,8400,1.5,0,7,2660,1590,57
461000,3,3.25,2770,6278,2,0,9,1980,1900,12
215000,2,2.25,1610,2040,2,0,7,1610,1950,39
335000,2,1.75,1030,1066,2,0,7,765,1030,12
243500,4,2.5,1980,7403,2,0,7,1980,1980,30
1.10E+06,5,2.75,3520,6353,2,0,10,3520,2520,17
153000,3,1,1200,10500,1,0,7,1200,1350,56
430000,3,1.5,1580,5000,1,0,8,1290,1570,79
700000,3,1.5,1580,5000,1,0,8,1290,1570,79
905000,4,2.5,3300,10250,1,0,7,2390,1950,72
247500,3,1.75,1960,15681,1,0,7,1960,1750,51
199000,4,1.5,1160,6400,1,0,7,1160,1160,43
314000,3,1.75,1810,41800,1,0,7,1210,1650,38
437500,3,2.5,2320,36847,2,0,9,2320,2550,26
850830,3,2.5,2070,13241,1.5,0,9,1270,2200,108
555000,3,2,1980,3478,1.5,0,7,1440,1610,89
699950,3,2.25,2190,107593,2,0,8,2190,2570,35
1.09E+06,3,2.5,2920,8113,2,0,8,2920,2370,68
290000,3,1,1210,33919,1,0,7,1210,1640,64
375000,3,2.5,2340,10005,1,0,8,1460,2250,40
460000,3,1,1670,4005,1.5,0,7,1170,1240,79
188500,2,1.75,1240,2493,1,0,8,1240,1270,33
680000,4,2.5,3140,28037,2,0,10,3140,2990,27
470000,5,1.75,2030,12342,2,0,7,2030,2500,76
597750,4,2.5,2310,9624,2,0,8,2310,1940,34
570000,3,1.75,1260,3328,1,0,6,700,1380,113
272500,3,1.75,1540,12600,1,0,7,1160,1540,38
329950,3,1.75,2080,5969,1,0,7,1080,2090,47
480000,4,2.5,3230,16171,2,0,9,2520,2640,17
740500,3,3.5,4380,6350,2,0,8,2780,1830,118
518500,3,3.5,1590,1102,3,0,8,1590,1620,8
205425,2,1,880,6780,1,0,6,880,1190,73
171800,4,2,1570,9600,1,0,6,1570,1880,68
535000,4,1,1610,2982,1.5,0,7,1610,1610,93
660000,3,2.5,2400,6474,1,0,8,1560,2340,54
391500,3,2,1450,9132,1,0,7,1450,1580,31
395000,2,1,770,6000,1,0,6,770,1710,65
445000,4,1.75,2100,4400,1.5,0,7,1720,1850,94
770000,3,2.25,2910,10204,2,0,9,2910,2700,28
1.45E+06,4,2.75,2750,17789,1.5,0,8,1980,3060,104
445000,3,2.25,2100,8201,1,0,8,1620,2660,51
260000,4,2.25,2160,8811,1,0,8,1360,2090,40
822500,5,3.5,2320,4960,2,0,7,1720,1700,92
430000,4,2.5,2070,4310,2,0,7,2070,1970,14
212000,3,1.75,1060,7875,1,0,7,1060,1420,32
660500,4,2.25,2010,9603,1,0,8,1440,2060,32
784000,3,3.5,3950,111078,1.5,0,9,2460,2480,29
453246,3,2.5,2010,2287,2,0,8,1390,1690,4
675000,4,3.5,2140,2278,3,0,9,2140,1540,13
199000,3,1.75,1320,17390,1,0,7,1320,1550,62
220000,4,1.75,2020,7840,1,0,7,1010,1750,50
452000,4,2.25,2590,10002,1,0,8,1340,1550,50
382500,2,1,1190,4440,1,0,6,1190,1060,37
519950,3,2.25,1170,1249,3,0,8,1170,1350,4
665000,2,1,1110,3200,1,0,7,1110,1170,93
527700,5,2.5,2820,9375,1,0,8,1550,2820,50
205000,3,1,1610,8579,1,0,7,1010,1610,56
420000,3,1,1060,8097,1,0,7,940,1560,95
500000,4,2.25,2030,8517,1,0,8,1380,2230,57
921500,4,2.5,3670,315374,2,0,9,3670,2840,24
890000,4,1,2550,4000,2,0,8,2370,2200,113
430000,2,2.5,2420,60984,2,0,7,2420,1940,11
258000,5,2,2260,12500,1,0,8,1130,1360,58
511000,3,1,1430,3455,1,0,7,980,1450,71
